Cumulative Rewards, Average Rewards, No Timesteps
-1754.433744263178, -14.148659227928855, 124
-785.5914948840996, -12.46970626800158, 63
-781.4607550074377, -12.210324296991214, 64
-865.0318649817385, -12.183547394108993, 71
-1294.8588697302098, -12.21564971443594, 106
-1149.5914563386616, -12.361198455254426, 93
-1576.1842910232258, -13.357493991722253, 118
-1177.0274059427068, -13.225027033064121, 89
-1789.6499564073529, -14.549999645588235, 123
-850.0471757380765, -11.80621077413995, 72
-1248.1957486848896, -13.421459663278384, 93
-756.0567120611483, -12.394372328871285, 61
-1104.7320770993474, -12.698069851716637, 87
-788.6608925856722, -13.367133772638512, 59
-1335.6360161700754, -13.628938940510974, 98
-781.5472228677471, -13.246563099453342, 59
-801.7613461629608, -12.527521033796262, 64
-1946.5708879254958, -14.526648417354446, 134
-970.1059259086169, -12.279821846944518, 79
-1027.8872229779136, -11.549294640201277, 89
-1428.9044210885565, -13.872858457170452, 103
-1312.763200157118, -13.674616668303313, 96
